user_id,昵称,性别,所在地,是否认证,认证信息,微博数,粉丝数,关注数
1879476167,看度新闻,m,四川,True,成都市广播电视台新媒体官方微博,34386,2582951,730
1906385094,浙视频,m,浙江,True,浙江日报报业集团浙视频官方微博,28332,1765876,955
1918960820,河北文艺广播,m,河北,True,河北文艺广播都市调频官方微博,36738,205074,1103
2041767163,叽里咕噜帕,f,北京 朝阳区,False,,10556,187,739
1804448022,廉丁丁,f,江苏 无锡,False,,8916,538,188
2865472804,鄞州检察,m,浙江 宁波,True,宁波市鄞州区人民检察院官方微博,6374,11426,185
5637065453,湖北新闻,f,湖北,True,湖北广电融媒体新闻中心官方微博,32405,716637,80
1686785965,环球时报-英文版,m,北京,True,环球时报英文版官方微博,82144,1009049,273
5960916876,石家庄微服务,m,河北,True,本地资讯博主（石家庄）,23351,369818,308
3205737053,红狐视界,m,福建 厦门,True,微博VLOG博主,936,13061,192
6083245339,贵溪发布,m,江西,True,贵溪市融媒体中心官方微博,99910,115300,759
5193731648,宝鸡检察,f,陕西 宝鸡,True,陕西省宝鸡市人民检察院官方微博,54788,21034,412
1663072851,中国日报,m,北京,True,China Daily 中国日报官方微博,143505,61471296,785
3984427597,一棵老芥菜,f,广东 韶关,False,,8042,794,116
1660452532,猫扑,f,北京,True,海南猫扑网唯一指定官方微博,139221,5297888,330
5209132096,青海网,f,青海 西宁,True,青海网官方微博,17076,93286,378
6504901486,V朝天微笑V,m,其他,False,,27065,94,335
1887344341,观察者网,m,上海 黄浦区,True,观察者网(www.guancha.cn)官方微博,133439,17188143,1232
5708562421,破产君指出,m,广东 广州,False,,3736,364,168
1641963713,富貴花錦,f,澳门 其他,False,,8053,580,733
6592692916,联播中国,f,北京,True,中国互联网新闻中心（中国网）联播频道的官方微博,8367,537110,241
5160807419,正义庄浪,m,甘肃 平凉,True,甘肃省平凉市庄浪县人民检察院官方微博,24109,929,560
2858196694,嗨森欢乐多,m,四川 成都,False,,12492,495,502
26247513,kadyec,m,广东 深圳,False,,27183,869,698
3469830734,空港融媒,f,四川,True,双流广播电视台官方微博,112321,330450,1529
5061982114,旬阳头条,f,陕西 安康,True,本地资讯博主（陕西-旬阳） 头条文章作者,24034,832124,438
2076255252,931郑州经济广播,m,河南,True,郑州人民广播电台FM93.1郑州经济广播官方微博,135799,451105,589
7009549392,去月球种树,f,陕西 西安,False,,991,12,65
6530798529,再见谷雨YU,m,其他,False,,21177,81,515
5559226446,太和检察,f,安徽 阜阳,True,安徽省太和县人民检察院官方微博,17604,2534,372
3180440500,小猪的二人世界,f,上海 静安区,False,,13131,754,729
6605135225,碎了的鸡蛋,f,北京,False,,6598,96,292
3742742487,nononononno,f,其他,False,,12738,707,2701
1574205700,麦兜小号,m,上海 浦东新区,False,,6304,468,195
2244395094,勺子漏了糖,f,江苏 苏州,False,,687,186,542
6155108225,麥琪蹄蹄,f,上海 黄浦区,False,,12204,256,743
1573766435,心盈2021,f,新疆 乌鲁木齐,False,,118093,150,357
2707988440,经常掉进坑里爬不上来的霸王老寡,f,江苏 南京,False,,4613,479,696
5711338701,微观大秦,m,陕西,True,知名本地博主 本地资讯博主（西安） 资讯视频自媒体,37115,3258475,2490
7452726085,芙拉米虫二代,m,四川,False,,2110,82,123
2787273822,等一个演唱会_MAMA,f,江西 赣州,False,,21709,365,350
3182391423,未央千年听雨眠,f,海外 丹麦,False,,24582,399,717
7399646214,走丢的难相处,f,福建,False,,12988,118,177
5944311708,榷稚猫新号,m,北京,False,,14603,14,5015
6810714519,转移客户,m,其他,False,,661,42,156
1863665130,暴走的机枪射手,f,其他,False,,14571,1219,804
1083691774,孤星赏月xp,m,浙江 丽水,False,,4826,527,514
6305904186,印兵爱晓靖,m,其他,False,,14538,122,373
7199775514,糖其其和苏噶是一个人唷,m,山东,False,,8917,40,59
6489194761,文明弃儿,m,广东 广州,False,,940,10,556
2438164205,暗香寶玛,f,浙江 金华,False,,717,20094,402
1261039664,李宾-Kevin,m,北京 朝阳区,False,,9045,9691,1051
1296084034,拉玛西亚老巫婆,f,海外,False,,30234,1724,847
5435862067,arter65270,m,其他,False,,4584,148,347
2173409861,猫猫的小心情,f,北京,False,,18910,507,998
1807058773,热大色丰BOOM,f,江苏,False,,1659,182,388
5855863001,松月地毯上的中指貓,f,海外,False,,1007,229,748
3459194280,四月_26640,m,浙江 金华,False,,1892,229,107
5705264851,天水南院,m,其他,False,,4164,158,1116
5924048120,蓝蓝莓鲸,m,海外 塞浦路斯,False,,50563,526,1649
3449332484,qwerty_42168,m,北京 东城区,False,,14431,1004,827
7388312065,东东西西晓晓黎明,f,广东,False,,6559,66,998
1054332927,亚晓,m,湖北 荆州,False,,3867,230,2066
6505629379,糟毛豆,m,上海,False,,11655,61,719
3057540037,人民日报海外版-海外网,m,北京 朝阳区,True,人民日报海外版官方网站,92384,4918649,268
1775287752,向南枝-,m,山东,False,,4783,72,444
5828463437,xydzcyyzlll,f,北京,False,,10249,12,786
1630874682,朝歌嘲哥,m,其他,False,,22346,2449,2126
1752243023,stephensoong,m,北京,False,,12786,228,1043
1420536184,飘动精灵,m,其他,False,,7392,269,226
7069951532,潇楠丹丹蔡,f,上海,False,,13168,115,2244
1602538451,一只水母喔,f,重庆,False,,1261,368,441
1858032410,酷尼米,m,北京 海淀区,False,,5235,555,117
1657939517,评论员文章指出,m,北京,True,法律博主,10317,212221,596
2705906143,尾安能,m,其他,False,,21295,226,141
2639313747,突然想改名可以吗,f,北京,False,,2487,200,691
1160679732,bohaoqi_云中漫步,m,上海 长宁区,False,,27817,319,1175
6392951716,菠萝蜜冠军,f,湖南,False,,1498,250,596
2189297877,VickyK-W,f,广东 广州,False,,33038,798,302
7078889397,不熬夜的Andante,m,广东,False,,10944,201,266
7012251969,真太阳黑子一号机,m,其他,False,,18322,355,820
6617019760,何必生男,f,四川 成都,False,,51380,182,1476
1221050984,DragonDriver混在金融街,m,四川 成都,False,,3018,235,372
1893455853,一生不羁爱自由1012,f,四川 成都,False,,31967,862,385
1720669135,退堂鼓表演艺术家·膨胀,f,北京 丰台区,False,,2135,21,517
2805686872,运动损伤体验家,f,广东,False,,13073,335,1278
1177910441,葒溏犸渏朶卟玎祈浗柷湢禰觅嘜獁,m,北京,False,,24300,3139,877
1759905655,MrPeach,m,其他,False,,1262,618,598
1634376665,狗子你玩蛋去吧,m,辽宁 沈阳,False,,49261,363,358
6184609768,快乐开袋即食,m,其他,False,,1739,149,911
6478883676,根河饺子馆,m,北京,False,,1917,17880,276
3962741836,吃完就拉的天使,m,其他,False,,3502,724,346
6606975227,幻化麟麟影成风,f,广东,False,,9302,518,531
1593559775,听蝉轩主人,m,广东 汕头,False,,126351,3997,817
5527514912,海雨静韵,m,其他,False,,2046,13,159
1269936063,刍狗万物不仁天地,m,上海,False,,41374,743,2623
1872047525,走在路上的不知道什么,f,海外 日本,False,,3771,654,698
1790888293,梦钟惊讶,m,海外 其他,False,,9943,659,1807
2908691401,飞扬的犁,m,四川 成都,False,,2914,910,519
5227110273,麦田守望翁2,m,北京 海淀区,True,知名法律博主,38462,98818,1351
1898160013,lnzju,m,海外,False,,952,1142,324
6276868284,鯊氅揉魘猄龡嗟獏不鯊氅浟焰噎,f,海外,False,,2452,1,1250
7381759420,很爱小熊猫哈,m,其他,False,,2001,134,664
3068099852,Ivanova2019,m,四川,False,,14918,116,437
1743458575,Iceiceiceeee,m,江西 上饶,False,,658,228,545
6024522616,Prim_BY,f,其他,False,,3858,284,730
